link;id_apto;precio;cant_h;coord;hab_disponibles;id_arrendador
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/conjunto-residencial-fuentes-de-la-bocha/cali/10038696;10038696;950000;3;POINT(3.3563787880654092 -76.51735577103368);3;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/7585696;7585696;840000;2;POINT(3.4554262161254883 -76.55332946777344);2;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/boyaca/cali/7569247;7569247;600000;2;POINT(3.436000108718872 -76.54199981689453);2;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/primero-de-mayo/cali/4678332;4678332;920000;3;POINT(3.406379461288452 -76.53290557861328);3;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/brisas-de-los-alamos/cali/7946989;7946989;1000000;2;POINT(3.492000102996826 -76.50199890136719);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-guabinas/yumbo/7494196;7494196;830000;2;POINT(3.447000026702881 -76.53399658203125);2;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/arboledas/cali/7898572;7898572;6000000;4;POINT(3.448406219482422 -76.54808807373047);4;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7946556;7946556;1100000;2;POINT(3.3572537899017334 -76.50599670410156);2;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-melendez-sur/cali/7946826;7946826;1050000;3;POINT(3.373703718185425 -76.50666809082031);3;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/6841831;6841831;900000;2;POINT(3.434000015258789 -76.5260009765625);2;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-2000/cali/7869627;7869627;1175000;2;POINT(3.3949999809265137 -76.52300262451172);2;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia/cali/7947083;7947083;8700000;3;POINT(3.453000068664551 -76.54399871826172);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-ingenio/cali/7868076;7868076;1600000;3;POINT(3.4508867263793945 -76.52571868896484);3;1485463670
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/municipal/cali/5862466;5862466;880000;3;POINT(3.447000026702881 -76.51300048828125);3;1387686089
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/novalito/valledupar/3595534;3595534;875000;2;POINT(3.4487335681915283 -76.5329818725586);2;1548825397
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-hacienda/cali/7947154;7947154;1500000;2;POINT(3.3941047191619873 -76.52476501464844);2;1494685983
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/5060020;5060020;880000;2;POINT(3.368612289428711 -76.5074691772461);2;1491075958
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/canaveralejo/cali/7969879;7969879;900000;3;POINT(3.476600170135498 -76.50370025634766);3;1004770034
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-rita/cali/6481718;6481718;2800000;2;POINT(3.4434266090393066 -76.52582550048828);2;1296923004
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7645875;7645875;742000;2;POINT(3.377000093460083 -76.51799774169922);2;1307074298
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/nueva-tequendama/cali/7947608;7947608;1000000;1;POINT(3.41011905670166 -76.54534912109375);1;1081250407
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-almendros/cali/7954106;7954106;884500;3;POINT(3.479377269744873 -76.49646759033203);3;1044276952
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/calipso/cali/7792128;7792128;650000;2;POINT(3.4240000247955322 -76.49600219726562);2;1485463670
